Kebele_ID,Kebele_Name,W_NAME,Z_NAME,T_NAME,treated,treat_share,area_km2,Year,RAIN_JJAS
ecba1d05-116b-4e2d-ba3f-5d4c516ba924,Amibara,Amibara,Zone  03,,1,1.0,15.00654655901331,2018.0,
d37ccaf0-a552-4cfd-a6b8-6f993befac3c,Amibara,Amibara,Zone  03,,1,0.8320112771549802,80.13281333673585,2018.0,
1021bd68-97ce-47dd-9b32-98ab9a912b06,Amibara,Amibara,Zone  03,,1,1.0,1.0560629079657056,2018.0,
e408d40e-19e4-4887-81ef-56403947d7f5,Amibara,Amibara,Zone  03,,1,1.0,1.439481062409131,2018.0,
2a879845-b5d4-47d5-8d00-e193da0011f8,Amibara,Amibara,Zone  03,,1,1.0,2.16850311106589,2018.0,
ebe4424c-a1d9-499e-8b33-126c3825b507,Amibara,Amibara,Zone  03,,1,1.0,11.890370391218037,2018.0,
64db08e1-9609-43e3-8ebd-5b2759de130c,Amibara,Amibara,Zone  03,,1,1.0,41.23511454607812,2018.0,
bb122ab0-6988-4eaa-8dd1-dd5f4bd2ff44,Amibara,Amibara,Zone  03,,1,1.0,17.849051917432206,2018.0,
ad63ef57-d27d-4257-b79b-27a7d34657ef,Amibara,Amibara,Zone  03,,1,0.055838646657209466,94.53449797299675,2018.0,
25696899-73ac-4515-878f-cc35a93a6182,Amibara,Amibara,Zone  03,,1,0.6176749535834155,46.59074922604579,2018.0,
4df3a267-b379-4bb3-a6ca-ec46fbbbad8f,Amibara,Amibara,Zone  03,,1,1.0,9.556610475386101,2018.0,
917fc369-ba12-4666-8cee-3148d15f2748,Amibara,Amibara,Zone  03,,1,1.0,22.380162679446027,2018.0,
c503b847-64c1-4ee2-b687-2e4bc13ed8ef,Amibara,Amibara,Zone  03,,1,0.32522409504719,242.68490611403806,2018.0,
a6a60679-f49b-462e-ac83-c50cb97908cd,Amibara,Amibara,Zone  03,,1,0.20153388530257155,131.58657648473576,2018.0,
471ba9a9-3cd2-4f2e-9764-7534e43702cc,Amibara,Amibara,Zone  03,,1,0.8840355751180154,66.52615231276683,2018.0,
5a1ec490-655e-4aca-a2bf-e0023c7c6777,Awash Fentale,Awash Fentale,Zone  03,,1,0.39149374212641097,117.44556286580129,2018.0,
86b8035f-c7bf-44e2-b69f-ef7657e3c2db,Awash Fentale,Awash Fentale,Zone  03,,1,0.6021629024986477,160.99621264140004,2018.0,
8cfc9150-fd86-405e-babf-6b7143e6304b,Awash Fentale,Awash Fentale,Zone  03,,1,0.2051512145165486,131.45887248267485,2018.0,
f52c7b2b-be72-4253-bb9d-db8621a634cf,Dulecha,Dulecha,Zone  03,,1,1.0,7.748968930477739,2018.0,
fe1b1887-d39c-4ab1-9311-142c90118f5a,Dulecha,Dulecha,Zone  03,,1,0.1521472022097871,129.12642714136345,2018.0,
2dee2e6f-2923-45f0-80fd-98b7b8f993d3,Dulecha,Dulecha,Zone  03,,1,0.09678236406312969,28.747062320428764,2018.0,
